player_name,team_abbreviation,age,player_height,player_weight,gp,pts,reb,ast,net_rating,ts_pct,gp_pred,pts_pred,reb_pred,ast_pred
Jose Alvarado,NOP,25.0,182.88,81.19296800000001,61,9.0,2.3,3.0,3.7,0.525,57.81999999999999,8.495,2.2920000000000003,2.8810000000000002
Josh Christopher,HOU,21.0,193.04,97.52228,64,5.8,1.1,1.1,-13.9,0.523,45.99,6.211999999999998,1.8160000000000003,1.6630000000000003
Josh Giddey,OKC,20.0,203.2,97.975872,76,16.6,7.9,6.2,-2.2,0.5329999999999999,61.36,20.840999999999998,7.016,5.551
Josh Green,DAL,22.0,200.66,90.7184,60,9.1,3.0,1.7,2.5,0.645,63.089999999999996,7.956,3.2399999999999998,1.5570000000000002
Josh Hart,NYK,28.0,193.04,97.52228,76,9.8,7.8,3.8,5.9,0.622,64.47,10.463000000000001,6.526999999999999,2.725
Josh Minott,MIN,20.0,203.2,92.98636,15,3.1,1.7,0.3,10.4,0.5820000000000001,25.54999999999999,4.138999999999998,2.178,0.6069999999999991
Josh Okogie,PHX,24.0,193.04,96.615096,72,7.3,3.5,1.5,4.9,0.531,60.080000000000005,8.490000000000002,3.897,1.82
Josh Richardson,NOP,29.0,198.12,90.7184,65,10.1,2.7,2.7,-5.2,0.555,65.72999999999999,9.903,2.9739999999999998,2.9189999999999996
Joshua Primo,SAS,20.0,198.12,85.728888,4,7.0,3.3,4.5,1.7,0.467,58.22,7.993,2.7319999999999998,3.4269999999999996
Johnny Juzang,UTA,22.0,198.12,94.800728,18,4.8,2.2,0.4,-17.7,0.411,40.28000000000001,5.1370000000000005,2.226,0.7429999999999997
Johnny Davis,WAS,21.0,193.04,88.45044,28,5.8,2.3,1.0,-6.2,0.446,41.519999999999996,5.500999999999998,2.3720000000000003,1.176
John Wall,LAC,32.0,190.5,95.25432,34,11.4,2.7,5.2,-6.6,0.497,51.87,11.491,3.0999999999999996,4.590000000000002
John Konchar,MEM,27.0,195.58,95.25432,72,5.1,4.3,1.4,7.0,0.542,56.89,6.57,3.695,1.6660000000000001
Jaylen Brown,BOS,26.0,198.12,101.151016,67,26.6,6.9,3.5,5.4,0.581,67.71,25.616999999999997,7.171999999999999,3.888999999999999
Jaylen Nowell,MIN,23.0,193.04,91.171992,65,10.8,2.6,2.0,0.0,0.527,62.87999999999999,8.943000000000001,2.5920000000000005,2.1310000000000002
Jaylin Williams,OKC,21.0,205.74,108.86208,49,5.9,4.9,1.6,-4.6,0.5589999999999999,44.50999999999999,5.831999999999998,3.966,1.3659999999999997
Jayson Tatum,BOS,25.0,203.2,95.25432,74,30.1,8.8,4.6,8.5,0.607,66.35999999999999,27.792999999999978,9.088999999999997,4.790000000000001
Jeenathan Williams,POR,24.0,195.58,92.98636,5,10.6,3.0,2.0,-11.0,0.657,47.05,7.752999999999998,2.7479999999999993,1.7700000000000002
Jeff Dowtin Jr.,TOR,26.0,190.5,80.28578399999998,25,2.4,0.9,1.2,-0.6,0.5,43.31,4.698,1.973,1.2959999999999994
Jeff Green,DEN,36.0,203.2,106.59412,56,7.8,2.6,1.2,-8.0,0.5760000000000001,61.7,8.110000000000001,2.869,1.3780000000000001
Jerami Grant,POR,29.0,203.2,95.25432,63,20.5,4.5,2.4,-1.2,0.606,65.19000000000001,19.081999999999997,4.574000000000001,2.769
Jeremiah Robinson-Earl,OKC,22.0,203.2,108.86208,43,6.8,4.2,1.0,-0.9,0.5479999999999999,44.16,6.247,3.372,1.1170000000000007
Jay Huff,WAS,25.0,215.9,108.86208,7,7.3,3.0,1.4,-1.1,0.7959999999999999,46.370000000000005,5.589,3.077,1.0100000000000005
Jeremy Sochan,SAS,20.0,203.2,104.32616,56,11.0,5.3,2.5,-7.0,0.509,55.61,10.523,4.695,2.478
Jevon Carter,MIL,27.0,185.42,90.7184,81,8.0,2.5,2.4,1.9,0.56,65.24000000000001,8.886000000000001,2.78,2.519
Jimmy Butler,MIA,33.0,200.66,104.32616,64,22.9,5.9,5.3,1.2,0.647,61.53000000000001,21.394000000000002,5.714,5.238999999999998
Jock Landale,PHX,27.0,210.82,115.66596,69,6.6,4.1,1.0,7.9,0.595,60.53,6.845,4.5760000000000005,1.1810000000000003
Joe Harris,BKN,31.0,198.12,99.79024,74,7.6,2.2,1.4,-1.0,0.621,63.47,7.737,2.2469999999999986,1.166
Joe Ingles,MIL,35.0,205.74,99.79024,46,6.9,2.8,3.3,2.5,0.616,62.45,7.927000000000001,3.295,2.8870000000000005
Joe Wieskamp,TOR,23.0,198.12,92.98636,9,1.0,0.4,0.3,1.0,0.321,27.960000000000008,3.508000000000001,1.924,0.7360000000000002
Joel Embiid,PHI,29.0,213.36,127.00576,66,33.1,10.2,4.2,8.8,0.655,63.250000000000014,30.060000000000002,10.176,4.864000000000001
John Butler Jr.,POR,20.0,213.36,86.18248,19,2.4,0.9,0.6,-16.1,0.411,42.73,5.886,2.832,0.9289999999999996
John Collins,ATL,25.0,205.74,102.511792,71,13.1,6.5,1.2,-0.2,0.593,62.64,14.015,5.965999999999999,1.717
Jericho Sims,NYK,24.0,208.28,113.398,52,3.4,4.7,0.5,-6.7,0.78,34.81000000000001,4.492999999999999,3.613,0.6130000000000002
JaMychal Green,GSW,33.0,205.74,102.965384,57,6.4,3.6,0.9,-8.2,0.65,56.16,6.913,4.001,1.1640000000000004
